,original,paraphrase,our_paraphrase
2595,"“Čudno se počutim, kadar mi prijateljice pripovedujejo o nadnaravnih posteljnih sposobnostih svojih fantov, zato o svojem dragem, ki ga ljubim, a je čisto povprečen v vsem, raje molčim.”","""čudno se počutim, ko mi prijateljice pripovedujejo o nadnaravnih veščinah postelj svojih fantov, zato raje ne govorim o moji dragi, ki jo imam rad, vendar je v vsem povprečna.""","""Čudno se počutim, ko prijateljice pripovedujejo o nadnaravnih posteljnih sposobnostih"
2596,Podpis v sliko: Ti je posvetila rdeča lučka?,: Rdeča luč se je prižgala za vas?,Podpis v sliko: Ti je posvetila rdeča lučka?
2597,"To ni isto, kot da bi se postavljal s tabo pred svojimi prijatelji.",To ni isto kot razkazovanje pred svojimi prijatelji.,To ni isto kot da bi se postavljal pred svojimi prijatelji.
2598,"Ne, on hoče pokazati njenim prijateljem in predvsem njej, da jo je prebolel in da ima ob sebi novo punco.","ne, želi pokazati svoje prijatelje in, predvsem, ji, da je nad njo in da ima novo dekle z njim.","Ne, on hoče pokazati svojim prijateljem in predvsem njej, da jo je prebolel in"
2599,"Te večkrat odpelje v lokal, kjer po naključju srečata njeno družbo?","Odpelje te v bar, kjer po nesreči srečaš njeno družbo.","Te večkrat odpelje v lokal, kjer po naključju srečata njeno družbo?"
2600,"Ti je pred tem naročil, da se seksi obleci?","Ti je rekel, da se obleci seksi?","Ti je pred tem naročil, da se seksi obleče?"
2601,"Je na Facebook dal več vajinih intimnih fotografij, medtem ko na njegovi nočni omarici ni niti ene?","Ali je dal več intimnih fotografij vas na Facebooku, medtem ko je njegova nočna omarica je prazna?","Je na Facebook dal več intimnih fotografij, medtem ko na njegovi nočni omarici ni niti ene"
2602,"Vse kaže, da si tvoj dragi prizadeva, da bi bil nekdo ljubosumen …","Zdi se, da vaš dragi poskuša narediti nekoga ljubosumnega...","Vse kaže, da si tvoj dragi prizadeva, da bi bil nekdo ljubosumen..."
2603,“Tudi midva bi lahko več seksala.”,"""Več bi lahko seksala.""","""Tudi midva bi lahko več seksala."""
2604,"“Dve leti je minilo, odkar sva se prvič srečala.","""Odkar sva se prvič srečala, sta minili dve leti.","""Dve leti je minilo, odkar sva se prvič srečala."
2605,Pogled je bil dovolj!,Pogled je bil dovolj!,Pogled je bil dovolj!
2606,"Zaljubila sem se čisto preveč, to vem zdaj, ko prebolevam najino zgodbo in ko skušam zamegliti spomine.","sem padel v ljubezni način preveč, Vem, da zdaj, ko sem že preko naše zgodbe in poskuša zabrisati naše spomine.","Zaljubila sem se čisto preveč, to vem zdaj, ko prebolevam najino zgodbo"
2607,"Bilo je nežno, čutno, lepo in razburljivo.","Bilo je nežno, čutno, lepo in vznemirljivo.","Bilo je nežno, čutno, lepo in razburljivo."
2608,"Edino, kar je manjkalo, je bila njegova bližina, saj je bil vedno daleč stran od mene in od naju.","Edino, kar mu je manjkalo, je bila njegova bližina, saj je bil vedno daleč od mene in od naju.","Edino, kar je manjkalo, je bila njegova bližina, saj je bil vedno daleč stran o"
2609,"To je začelo krhati odnos, hkrati pa sem tudi sama občutila, da ne vem, kaj hočem.","To je začelo prekinjati odnos, vendar sem tudi čutil, da nisem vedel, kaj sem hotel.","To je začelo krhati odnos, hkrati pa sem čutila, da ne vem, kaj hočem."
2610,"Prišlo je do slovesa, ko je videl moje solze in me pustil oditi.","Poslovil se je, ko je videl moje solze in me izpustil.","Prišlo je do slovesa, ko je videl moje solze in me pustil oditi."
2611,Bolečina je bila nevzdržna!,Bolečina je bila neznosna.,Bolečina je bila nevzdržna.
2612,"Ko sta minila dva meseca, sem bila že prepričana, da sem pripravljena, da lahko spet zadiham.","Ko sta minila dva meseca, sem bila že prepričana, da sem pripravljena ponovno dihati.","Ko sta minila dva meseca, sem bila prepričana, da sem pripravljena, da bom spet zadi"
2613,"Pred tednom dni pa sem ga tam, kjer sva se midva srečala, videla z drugo.","Pred enim tednom pa sem ga videla z drugo žensko, kjer sva se spoznala.","Pred tednom dni sem ga videl tam, kjer sva se srečala, in ga videl z drugo."
2614,Zame je v tistem trenutku obstalo prav vse.,V tistem trenutku se mi je vse ustavilo.,V tistem trenutku je bilo vse v tistem trenutku obstalo.
2615,"Ne spomnim se, da bi moje srce sploh bilo.","ne spomnim se, da bi moje srce sploh bilo.","Ne spomnim se, da bi moje srce sploh bilo."
2616,Kaj ni že vse to za mano?,ali ni to vse za mano?,Kaj je to za mano?
2617,"Pa tako sem bila prepričana, da je.","prepričana sem bila, da je.","Pa sem bila prepričana, da je."
2618,Zakaj spet boli in kriči v meni?,Zakaj boli in še enkrat kriči?,Zakaj spet boli in kriči v meni?
2619,"Edino, kar zdaj zagotovo vem, je, da ga ne bo več nazaj, da ne bo več naju in da sem končno svobodna.","Edina stvar, za katero sem zdaj prepričan, je, da se ne bo vrnil, da nas ne bo več in da sem končno svoboden.","Edino, kar zdaj vem, je, da ga ne bo več nazaj, da ne bo več"
2620,"V redu, dojela sem!","V redu, sem ga dobil!","V redu, sem razumel."
2621,Grem naprej!”,"jaz sem se gibljejo naprej! ""","Grem naprej! """
2622,“Zdaj se piše nova zgodba.,"""Sedaj se piše nova zgodba.","""Zdaj se piše nova zgodba."
2623,"Nič več ni obljub, ni več resnice, ni pogovorov in ne dotikov, ki so me oživljali.","Nič več obljub, nič več resnice, nič pogovorov, nič dotikov, ki so me pripeljali v življenje.","Nič več ni obljub, ni več resnice, ni pogovorov in ne dotikov, ki so me"
2624,"Vsa strast je izpuhtela, poljubi so postali hladni, skoraj nečuteči, odtujeni.","Vsa strast je izpuhtela in poljubi so postali hladni, skoraj brezčutni, odtujeni.","Vsa strast je izpuhtela, poljubi so postali hladni, skoraj nečuteči"
2625,"Med nama ni ostalo ničesar več, ničesar, kar nama je včasih tako veliko pomenilo.","Med nama ni ostalo nič, nič, kar bi nama včasih toliko pomenilo.","Med nama ni ostalo ničesar več, ničesar, kar nama je včasih tako veliko pomenilo."
2626,"Nimava več zaupanja v naju, nimava več sanj, ki sva jih skupaj dolga leta gradila, nimava več pravljice, v katero sva verjela, nimava več razumevanja.","Nimamo več vere v nas, nimamo več sanj, ki smo jih gradili skupaj že več let, nimamo več pravljice, v katero smo verjeli, ne razumemo več.","Nimamo več zaupanja v naju, nimava več sanj, ki sva jih skupaj gradila,"
2627,"Nekoč so nama pogovor, prijateljstvo in tudi strast pomenili vse, zdaj nič več.","Nekoč so nam pogovori, prijateljstvo in strast pomenili vse, zdaj pa niso nič več.","Nekoč so pogovor, prijateljstvo in strast postali vse, zdaj nič več."
2628,"Nekoč sva se dolge noči pogovarjala, si zaupala vse, celo najmanjše podrobnosti.","Nekoč sva se dolge noči pogovarjala, si delila vse, celo najmanjše podrobnosti.","Nekoč sva se dolgo pogovarjala, si zaupala vse, celo najmanjše podrobnosti."
2629,"Vedela sva, da sva s pogovorom zapolnjevala najino praznino.","Vedeli smo, da je pogovor z njim zapolnil našo praznino.","Vedela sva, da sva s pogovorom zapolnila praznino."
2630,"Potem sva se naveličala praznih besed, zgodb, ki sva jih že tisočkrat predebatirala, čustev, ki jih je sprožil znova in znova najin pogovor.","Nato sva se naveličala praznih besed, zgodb, o katerih sva že tisočkrat govorila, občutkov, ki jih je najin pogovor sprožil znova in znova.","Potem sva se naveličala praznih besed, zgodb, ki sva jih že tisočkrat prede"
2631,"Nekako sva vedno vedela, da ne moreva biti več kot sva, prijatelja in ljubimca.","Nekako sva vedno vedela, da nikoli ne bova mogla biti več, kot sva, prijatelja in ljubimca.","Nekako sva vedno vedela, da ne moremo biti več kot prijatelja in ljubimca."
2632,"Dajala sva si prazne upe, da bova eden drugemu dala tisto, kar iščeva.","drug drugemu sva dajala prazne upe, da sva drug drugemu dala, kar sva iskala.","Dajala sva prazne upe, da bi drug drugemu dala tisto, kar iščeta."
2633,Oddaljila sva se in prekinila stike.,Razšla sva se in izgubila stik.,Oddaljila sva se in prekinila stike.
2634,"Še vedno upam, da bom nekoč, nekega dne na zaslonu svojega telefona videla napisano tvoje ime.","še vedno upam, da nekega dne, nekega dne, bom videl tvoje ime napisano na zaslonu mojega telefona.","Še vedno upam, da bom nekoč, nekega dne, videla tvoje ime na zaslonu svojega telefona."
2635,"Samo toliko, da bi govorila s tabo, da bi videla, ali me tvoj glas še vznemirja, če me tvoj šepet glasu še žge, če me lahko še vedno prepričaš.","Samo dovolj dolgo, da govorim s tabo, da vidim, če me tvoj glas še vedno vznemirja, če me tvoj šepet glasu še vedno žge, če me še vedno lahko prepričaš.","Samo toliko, da bi govorila s tabo, da bi videla, ali me tvoj glas še vedno"
2636,"Ampak vem, da si želim nekaj, kar si ti že zdavnaj pozabil in izbrisal iz spomina.","Ampak vem, da želim nekaj, kar si že zdavnaj pozabil in izbrisal iz svojega spomina.","Ampak vem, da si želim nekaj, kar si že zdavnaj pozabil in izbrisal iz spomina."
2637,"Zdaj tudi sama pozabljam na vse, kar naju je povezovalo, zbliževalo.","Sedaj tudi jaz pozabljam vse to, kar naju je držalo skupaj.","Zdaj pa pozabljam na vse, kar naju je povezovalo, zbližalo."
2638,"Upanje se mi spet vrača, a ne na življenje s tabo, ampak z njim.","Moje upanje se vrača, ne živeti z vami, ampak z njim.","Upanje se mi vrača, vendar ne na življenje s tabo, ampak na življenje s tabo,"
2639,"Zanj vem, da sem mu vse na svetu, da sem mu vse to, kar si ti nekoč bil meni.","vem, da sem mu vse, da sem njemu vse, kar si ti nekoč bila meni.","Zanj vem, da sem mu vse na svetu, da sem mu vse, kar si nekoč bil"
2640,"Zdaj je vse lažje, čeprav hkrati vem, da ne bo nikoli več enako.","Vse je zdaj lažje, čeprav vem, da nikoli ne bo isto.","Zdaj je vse lažje, čeprav vem, da ne bo nikoli več enako."
2641,"Zdaj se spet postavljam na noge in vem, nekoč mi bo uspelo, tudi brez tebe!","Zdaj se spet postavljam na noge in vem, da bom nekega dne to storil, tudi brez tebe.","Zdaj se spet postavljam na noge in vem, da mi bo nekoč uspelo, tudi brez tebe"
2642,"Uspelo mi bo zaradi njega, ki me razume, spoštuje in ima rad tako, kakršna sem.”","uspela bom zaradi njega, ki me razume, spoštuje in me ljubi takšnega kot sem. ""","Uspelo mi bo zaradi njega, ki me razume, spoštuje in ima rad tako, kot sem"
2643,Se tudi ti kdaj najdeš v podobnem primežu alkohola?,Ste se že kdaj znašli v podobni situaciji z alkoholom?,Ali se kdaj znajdete v podobnem primežu alkohola?
2644,"Če si vsaj malo podobna svojim vrstnicam, potem se tudi ti od ponedeljka do četrtka alkoholnim pijačam po navadi izogibaš, ko pa pride petek, si ob devetih zvečer že pripravljena na nočno zabavo, v kateri glavno vlogo igra prav alkohol.","Če ste kaj podobnega svoje vrstnike, ki jih ponavadi izognili alkoholne pijače od ponedeljka do četrtka, ko pa pride petek, ste pripravljeni za nočno zabavo ob devetih zvečer, kjer alkohol igra pomembno vlogo.","Če si vsaj malo podobna svojim vrstnicam, potem se alkoholnim pijačam po navadi izogibaš"
2645,"Nataša Sorko, predsednica društva Žarek upanja, ki nudi pomoč osebam, ki imajo težave z odvisnostjo od alkohola, nas glede pretiranega popivanja, ki si ga privoščimo konec tedna, takoj postavi na realna tla:",": Nataša Sorko, predsednica društva Ray of Hope, ki nudi pomoč ljudem, ki imajo težave z odvisnostjo od alkohola, nas glede prekomernega pitja, ki si ga lahko privoščimo ob koncu tedna, takoj spravi na realna tla","Nataša Sorko, predsednica društva Žarek upanja, ki nudi pomoč osebam, ki imajo težave z"
2646,"Če si po noči krokanja v želodcu občutila nenavadno slabost in izsušeno kožo na obrazu, so temu kriv prav koktajli, ki si jih popila preteklo noč.","Če ste po noči, ko ste se postili v želodcu, občutili nenavadno slabost in izsušeno kožo obraza, so za to krivi koktajli, ki ste jih pili prejšnjo noč.",Če si po noči krokanja v želodcu občutila nenavadno slabost in izsušeno kožo na obrazu
2647,"Hmm, koliko jih je že bilo?",In koliko jih je že bilo?,"Hmm, koliko jih je bilo?"
2648,"Tudi če misliš, da se ti ne more nič zgoditi, te lahko pretirano pijančevanje pripelje v nespametne in potencialno nevarne situacije.","Tudi če menite, da se vam nič ne more zgoditi, vas pretirano pitje lahko pripelje v nespametne in potencialno nevarne okoliščine.","Če misliš, da se ti ne more nič zgoditi, te pretirano pijančevanje pripelje v ne"
2649,"Pomisli, kdaj si se prav zato, ker si se napila, znašla v objemu popolnega tujca in z njim seksala brez potrebne zaščite.","""pomisli, kdaj si se, ravno zato, ker si se napila, znašla v objemu popolne neznanke in seksala z njim brez potrebne zaščite.","Pomisli, kdaj si se, ker si se napila, znašla v objemu popolnega tuj"
2650,Ves večer se imej pod nadzorom s temi napotki:,Bodite pod nadzorom vso noč s temi nasveti:,Ves večer se lahko ukvarjam z temi napotki:
2651,"Ko te po noči pijančevanja pokličejo prijateljice in ti začnejo razlagati, kaj vse si počela v vinjenem stanju, se polovice stvari sploh ne spomniš.","ko te prijatelji pokličejo po noči popivanja in ti začnejo razlagati, kaj si počel, ko si bil pijan, se polovice tega ne spomniš.","Ko te po noči pijančevanja pokličejo prijateljice in ti začnejo razlagati, kaj vse si počel"
2652,"Čezmerno zaužitje alkohola naenkrat namreč kratkoročno močno vpliva na naš spomin, zato je to zagotovo znamenje, da sta ti in alkohol prevelika prijatelja.","Če spijemo preveč alkohola naenkrat, to kratkoročno vpliva na naš spomin, je to zagotovo znak, da ste vi in alkohol preveliki prijatelji.","Čezmerno zaužitje alkohola lahko kratkoročno močno vpliva na naš spomin, zato je to zagotovo znamenje,"
2653,"Več let je minilo, odkar si prejela zadnji klic akviziterjev in anketarjev.",Minilo je že nekaj let od vašega zadnjega klica od odvetnikov in anketarjev.,"Več let je minilo, odkar si prejel zadnji klic akviziterjev in anketarjev."
2654,"Dober glas seže v deveto vas, slab pa še dlje (do Telekoma in vse naokrog).","Dober glas gre v deveto vas, slab pa še dlje (k Telekomu in vsem ostalim).","Dober glas seže v deveto vas, slab pa je še dlje (do Telekoma in vse naokoli)."
2655,"Veseli december izkoristi za veselje svoje duše – privošči si čas le zase, uživaj v iskanju ali izdelovanju daril za najbližje, peki svojih angelskih piškotkov in vseh pozitivnih misli, ki jih boš v decembru podarjala ljudem in univerzumu.","Izkoristite ta veseli december, da uživate v svoji duši - vzemite si čas zase, uživajte v iskanju ali izdelovanju daril za ljubljene, pecite angelske piškotke in vse pozitivne misli, ki jih boste dali ljudem in vesolju v decembru.","Veseli december izkoristi za veselje svoje duše - privošči si čas le zase, uživaj v iskanju ali"
2656,"V najbolj družabnem mesecu si vzemi nekaj časa le zase – preberi dobro knjigo, oglej si film, poslušaj najnovejše hite.","V najbolj družabnem mesecu si vzemite nekaj časa samo zase - preberite dobro knjigo, si oglejte film, poslušajte najnovejše uspešnice.","V najbolj družabnem mesecu si vzemite nekaj časa zase - preberite dobro knjigo, oglej"
2657,"Če obožuješ animirane filme, boš med 8. in 14. decembrom lahko uživala na mednarodnem festivalu animiranega filma Animateka v Kinodvoru.","Če ste ljubitelj animiranih filmov, boste lahko med 8. in 14. decembrom v Kinodvoru uživali na Mednarodnem festivalu animiranega filma Animateka.","Če obožujete animirane filme, boste med 8. in 14. decembrom lahko uživali na mednarodnem"
2658,"Obišči tudi knjigarno Čopova na Čopovi ulici v Ljubljani – čaka te v novi, mikavni podobi.","Obiščite tudi Čopovo knjigarno na Čopovi ulici v Ljubljani - čaka vas v novi, mikavni podobi.",Obišči tudi knjigarno Čopova na Čopovi ulici v Ljubljani - čaka te v novi
2659,"Pop lutkice drvijo naprej, s športnimi postavami, oblačilci in glasbenim tempom.","pop lutke hitijo naprej, s športnimi figurami, kostumografi in glasbenim tempom.","Pop lutkice drvijo naprej, s športnimi postavami, oblačilci in glasbenim"
2660,"Kot vedno tudi tokrat z mešanico plesnih in baladnih hitov, ki jih oznanja poznani komad When I Grow Up.","Kot vedno, z mešanico plesnih in baladnih hitov, ki jih je napovedala znana pesem When I Grow Up.","Kot vedno, z mešanico plesnih in baladnih hitov, ki jih je oznanil znani kom"
2661,"Božič na kvadrat Brad (Vince Vaughn) in Kate (Reese Witherspoon) namesto sproščujočih počitnic na obali preživita božič na obiskih svojih ločenih staršev – štiri družinske dogodivščine, ki sta se jim hotela izogniti, te bodo nasmejale do solza!","Božič na kvadrat Brad (Vince Vaughn) in Kate (Reese Witherspoon) preživijo božič ob obiskih ločenih staršev namesto sproščujočih počitnic na plaži - štiri družinske dogodivščine, ki so se jim izognili, vas bodo nasmejale, dokler se",Božič na kvadrat Brad (Vince Vaughn) in Kate (Reese
